run,split,field,label,support,predicted_positive,true_positive,false_positive,false_negative,true_negative,precision,recall,f1
phase3_v2_visual_retention,val,entrance,Entrance Type: Stoop - High,452,1135,277,858,175,2595,0.244053,0.612832,0.349086
phase3_v2_visual_retention,val,entrance,Entrance Type: Other Entrance Type,118,283,25,258,93,3529,0.088339,0.211864,0.124688
phase3_v2_visual_retention,val,entrance,Entrance Type: Unknown - Not Visible,99,84,4,80,95,3726,0.047619,0.040404,0.043716
phase3_v2_visual_retention,val,entrance,Entrance Type: Storefront,101,140,81,59,20,3745,0.578571,0.80198,0.672199
phase3_v2_visual_retention,val,entrance,Entrance Type: Vehicular Entrance,56,107,39,68,17,3781,0.364486,0.696429,0.478528
phase3_v2_visual_retention,val,associated_buildings,Building/Object Type: Garage - Detached,1833,2316,1375,941,458,1131,0.593696,0.750136,0.66281
phase3_v2_visual_retention,val,associated_buildings,Building/Object Type: Shed or Storage Building,419,1740,242,1498,177,1988,0.13908,0.577566,0.224178
phase3_v2_visual_retention,val,associated_buildings,Building/Object Type: Garage – Attached,268,930,164,766,104,2871,0.176344,0.61194,0.27379
phase3_v2_visual_retention,val,associated_buildings,Building/Object Type: Carport - Attached,95,63,13,50,82,3760,0.206349,0.136842,0.164557
phase3_v2_visual_retention,val,associated_buildings,Building/Object Type: Accessory Dwelling Unit (ADU),86,22,2,20,84,3799,0.090909,0.023256,0.037037
phase3_v2_visual_retention,val,associated_buildings,Building/Object Type: Other Associated Building or Object,110,25,4,21,106,3774,0.16,0.036364,0.059259
phase3_v2_visual_retention,val,roof_materials,Shingles - Asphalt,3465,3279,3228,51,237,389,0.984446,0.931602,0.957295
phase3_v2_visual_retention,val,roof_materials,Unknown Roof Material,399,515,356,159,43,3347,0.691262,0.892231,0.778993
phase3_v2_visual_retention,val,roof_materials,Terra Cotta Tile,8,101,2,99,6,3798,0.019802,0.25,0.036697
phase3_v2_visual_retention,val,roof_materials,Metal,29,68,12,56,17,3820,0.176471,0.413793,0.247423
phase3_v2_visual_retention,val,roof_materials,Shingles - Concrete,14,10,0,10,14,3881,0.0,0.0,0.0
phase3_v2_visual_retention,val,roof_materials,Rare Roof Material,13,15,0,15,13,3877,0.0,0.0,0.0
